"","Action","Adventure","Animation","Children.s","Comedy","Crime","Documentary","Drama","Fantasy","Film.Noir","Horror","Musical","Mystery","Romance","Sci.Fi","Thriller","War","Cluster"
"1",0.201995012468828,0.174563591022444,0.0822942643391521,0.159600997506234,0.456359102244389,0.0374064837905237,0.00498753117206983,0.28927680798005,0.0947630922693267,0.00997506234413965,0.0473815461346633,0.0922693266832918,0.0199501246882793,0.167082294264339,0.177057356608479,0.0673316708229426,0.0598503740648379,1
"2",0.298578199052133,0.165876777251185,0.0473933649289099,0.0521327014218009,0.156398104265403,0.104265402843602,0.004739336492891,0.327014218009479,0.042654028436019,0.0568720379146919,0.0947867298578199,0.00947867298578199,0.042654028436019,0.0710900473933649,0.549763033175355,0.265402843601896,0.0568720379146919,2
"3",0.388235294117647,0.172549019607843,0.117647058823529,0.117647058823529,0.290196078431373,0.0588235294117647,0.00392156862745098,0.152941176470588,0.0313725490196078,0.00392156862745098,0.227450980392157,0.0666666666666667,0.0352941176470588,0.0823529411764706,0.211764705882353,0.203921568627451,0.0392156862745098,2
"4",0.353535353535354,0.171717171717172,0.037037037037037,0.063973063973064,0.471380471380471,0.0808080808080808,0.00336700336700337,0.185185185185185,0.0437710437710438,0.00673400673400673,0.104377104377104,0.0202020202020202,0.037037037037037,0.101010101010101,0.195286195286195,0.296296296296296,0.0471380471380471,3
"5",0.325657894736842,0.174342105263158,0.0427631578947368,0.0723684210526316,0.302631578947368,0.177631578947368,0.0164473684210526,0.236842105263158,0.0921052631578947,0.0296052631578947,0.0986842105263158,0.0164473684210526,0.0493421052631579,0.0888157894736842,0.365131578947368,0.325657894736842,0.0361842105263158,2
"6",0.205882352941176,0.191176470588235,0.0294117647058824,0.0294117647058824,0.529411764705882,0.0955882352941176,0.00735294117647059,0.485294117647059,0.0441176470588235,0.00735294117647059,0.0220588235294118,0.0514705882352941,0.00735294117647059,0.279411764705882,0.102941176470588,0.0367647058823529,0.0735294117647059,4
"7",0.529411764705882,0.317647058823529,0.105882352941176,0.0941176470588235,0.317647058823529,0.0235294117647059,0.0117647058823529,0.223529411764706,0.0705882352941176,0.0117647058823529,0.0352941176470588,0.0117647058823529,0.0117647058823529,0.0588235294117647,0.505882352941176,0.188235294117647,0.152941176470588,2
"8",0.0930232558139535,0.0232558139534884,0.0232558139534884,0.0232558139534884,0.186046511627907,0.13953488372093,0.0465116279069767,0.627906976744186,0.0232558139534884,0.0232558139534884,0.0232558139534884,0.0232558139534884,0.0465116279069767,0.13953488372093,0.0697674418604651,0.162790697674419,0.0465116279069767,5
"9",0.179028132992327,0.0946291560102302,0.010230179028133,0.0460358056265985,0.21227621483376,0.0946291560102302,0.00767263427109974,0.416879795396419,0.0179028132992327,0.0281329923273657,0.135549872122762,0.0434782608695652,0.0434782608695652,0.10997442455243,0.120204603580563,0.225063938618926,0.0588235294117647,3
"10",0.35042735042735,0.11965811965812,0.056980056980057,0.0484330484330484,0.393162393162393,0.0883190883190883,0.0284900284900285,0.316239316239316,0.0256410256410256,0.0142450142450142,0.0512820512820513,0.0227920227920228,0.0341880341880342,0.13960113960114,0.193732193732194,0.259259259259259,0.108262108262108,2
"11",0.541125541125541,0.29004329004329,0.0173160173160173,0.0476190476190476,0.255411255411255,0.0735930735930736,0.00432900432900433,0.177489177489178,0.0995670995670996,0.00432900432900433,0.0562770562770563,0.012987012987013,0.0216450216450216,0.0822510822510823,0.519480519480519,0.242424242424242,0.051948051948052,2
"12",0.319397993311037,0.190635451505017,0.0635451505016722,0.145484949832776,0.40133779264214,0.0434782608695652,0.00501672240802676,0.254180602006689,0.0585284280936455,0.00668896321070234,0.0351170568561873,0.0618729096989967,0.0384615384615385,0.140468227424749,0.173913043478261,0.153846153846154,0.088628762541806,2
"13",0.592592592592593,0.25,0.222222222222222,0.175925925925926,0.148148148148148,0.12037037037037,0.00925925925925926,0.203703703703704,0.0277777777777778,0.0185185185185185,0.037037037037037,0.0740740740740741,0.0277777777777778,0.0925925925925926,0.25,0.268518518518519,0.0925925925925926,2
"14",0.228070175438596,0.12719298245614,0.0497076023391813,0.0847953216374269,0.241228070175439,0.087719298245614,0.00146198830409357,0.429824561403509,0.0614035087719298,0.0146198830409357,0.12719298245614,0.0657894736842105,0.0526315789473684,0.141812865497076,0.198830409356725,0.22953216374269,0.0526315789473684,3
"15",0.377574370709382,0.185354691075515,0.0480549199084668,0.0732265446224256,0.265446224256293,0.0640732265446224,0.0045766590389016,0.304347826086957,0.0411899313501144,0.011441647597254,0.100686498855835,0.0366132723112128,0.0411899313501144,0.100686498855835,0.350114416475973,0.192219679633867,0.080091533180778,2
"16",0.0845070422535211,0.0563380281690141,0.0140845070422535,0.0328638497652582,0.248826291079812,0.0516431924882629,0.00469483568075117,0.539906103286385,0.00938967136150235,0.0422535211267606,0.0375586854460094,0.140845070422535,0.0516431924882629,0.291079812206573,0.0751173708920188,0.0985915492957746,0.126760563380282,4
"17",0.166666666666667,0.0903614457831325,0.0140562248995984,0.0220883534136546,0.319277108433735,0.0843373493975904,0.00602409638554217,0.485943775100402,0.0220883534136546,0.036144578313253,0.0321285140562249,0.0401606425702811,0.0562248995983936,0.194779116465863,0.106425702811245,0.164658634538153,0.0602409638554217,6
"18",0.479338842975207,0.28099173553719,0.0413223140495868,0.0661157024793388,0.289256198347107,0.0743801652892562,0.00826446280991736,0.363636363636364,0.0247933884297521,0.00826446280991736,0.00826446280991736,0.0413223140495868,0.0165289256198347,0.132231404958678,0.15702479338843,0.239669421487603,0.132231404958678,2
"19",0.115702479338843,0.0495867768595041,0.0165289256198347,0.0247933884297521,0.15702479338843,0.0991735537190083,0.00826446280991736,0.462809917355372,0.0165289256198347,0.0661157024793388,0.0495867768595041,0.0743801652892562,0.0578512396694215,0.140495867768595,0.0743801652892562,0.223140495867769,0.12396694214876,5
"20",0.388118811881188,0.221782178217822,0.102970297029703,0.126732673267327,0.217821782178218,0.0415841584158416,0.00198019801980198,0.154455445544554,0.0673267326732673,0.00594059405940594,0.235643564356436,0.0752475247524752,0.0138613861386139,0.0673267326732673,0.304950495049505,0.188118811881188,0.0594059405940594,2
"21",0.122033898305085,0.0711864406779661,0.0440677966101695,0.0372881355932203,0.305084745762712,0.0745762711864407,0.0338983050847458,0.525423728813559,0.0203389830508475,0.023728813559322,0.0440677966101695,0.0372881355932203,0.0338983050847458,0.159322033898305,0.0949152542372881,0.166101694915254,0.0813559322033898,6
"22",0.111111111111111,0.0978835978835979,0.0767195767195767,0.132275132275132,0.420634920634921,0.0396825396825397,0.0291005291005291,0.330687830687831,0.0529100529100529,0.0185185185185185,0.082010582010582,0.119047619047619,0.0423280423280423,0.153439153439153,0.134920634920635,0.113756613756614,0.0476190476190476,1
"23",0.297959183673469,0.220408163265306,0.142857142857143,0.16734693877551,0.318367346938775,0.0489795918367347,0.0326530612244898,0.220408163265306,0.0653061224489796,0.0204081632653061,0.151020408163265,0.114285714285714,0.0244897959183673,0.0612244897959184,0.220408163265306,0.0979591836734694,0.0897959183673469,2
